# Stellarium DSO catalog;;;;;;;;
# Version 3.7 standard;;;;;;;;
# NGC;MES;CAL;RA;DEC;MAG;TYPE;SIZE1;SIZE2
205;110;0;10.091979;41.6853;8.07;GALXY;21.9;11
3992;109;0;179.399933;53.374519;10.6;GALXY;7.6;4.7
3556;108;0;167.879029;55.674122;10.7;GALXY;8.7;2.2
6171;107;0;248.13275;-13.05378;8.85;GLOCL;13;0
4258;106;0;184.740083;47.303719;8.41;GALXY;18.6;7.2
3379;105;0;161.956667;12.581631;9.76;GALXY;5.4;4.8
4594;104;0;189.997633;-11.623054;8;GALXY;8.7;3.5
581;103;0;23.346;60.65;7.4;OPNCL;6;0
5866;102;0;226.623171;55.763308;9.89;GALXY;6.5;3.1
5457;101;0;210.802429;54.34875;7.86;GALXY;28.8;26.9
4321;100;0;185.728746;15.822381;9.35;GALXY;7.4;6.3
4254;99;0;184.706771;14.416489;9.87;GALXY;5.4;4.7
4192;98;0;183.451217;14.900469;10.14;GALXY;9.8;2.8
3587;97;0;168.698754;55.019089;9.9;PLNNB;3.4;3.3
3368;96;0;161.6906;11.819939;9.25;GALXY;7.6;5.2
3351;95;0;160.990554;11.703611;9.73;GALXY;3.1;2.9
4736;94;0;192.72145;41.120153;8.24;GALXY;11.2;9.1
2447;93;0;116.125;-23.857;6.2;OPNCL;10;0
6341;92;0;259.28079;43.13594;6.4;GLOCL;14;0
4548;91;0;188.860125;14.496319;13.57;GALXY;5.4;4.3
4569;90;0;189.207567;13.162869;9.54;GALXY;9.5;4.4
4552;89;0;188.916183;12.556039;9.75;GALXY;5.1;4.7
4501;88;0;187.996733;14.420411;13.18;GALXY;6.9;3.7
4486;87;0;187.705931;12.391123;8.63;GALXY;7.2;6.8
4406;86;0;186.549225;12.945969;8.9;GALXY;8.9;5.8
4382;85;0;186.350221;18.191081;10;GALXY;7.1;5.5
4374;84;0;186.265597;12.886983;10.49;GALXY;6.5;5.6
5236;83;0;204.253829;-29.865761;7.54;GALXY;12.9;11.5
3034;82;0;148.968458;69.679703;8.41;GALXY;11.2;4.3
3031;81;0;148.888221;69.065295;6.94;GALXY;26.9;14.1
6093;80;0;244.26004;-22.97608;7.87;GLOCL;10;0
1904;79;0;81.04413;-24.52425;8.56;GLOCL;9.6;0
2068;78;0;86.6948;0.014;8.3;REFNB;8;6
1068;77;0;40.669879;-0.013289;8.87;GALXY;7.1;6
650;76;0;25.583117;51.575319;10.1;PLNNB;3.12;2.307
6864;75;0;301.520171;-21.922261;9.18;GLOCL;6.8;1.942
628;74;0;24.17405;15.783461;9.39;GALXY;10.5;9.5
6994;73;0;314.75;-12.63;8.9;OPNCL;2.8;0
6981;72;0;313.36542;-12.53731;9.2;GLOCL;6.6;0
6838;71;0;298.44371;18.77919;6.1;GLOCL;7.2;0
6681;70;0;280.80317;-32.29211;9.06;GLOCL;8;0
6637;69;0;277.84625;-32.34808;8.31;GLOCL;8.1;0
4590;68;0;189.86658;-26.74406;7.3;GLOCL;11;0
2682;67;0;132.825;11.8;6.9;OPNCL;25;0
3627;66;0;170.062608;12.991289;8.92;GALXY;9.1;4.2
3623;65;0;169.733154;13.092211;10.25;GALXY;8.709;2.454
4826;64;0;194.182067;21.682658;8.52;GALXY;10.71;5.128
5055;63;0;198.955537;42.029289;8.59;GALXY;12.6;7.2
6266;62;0;255.3025;-30.11236;7.39;GLOCL;15;0
4303;61;0;185.478958;4.473589;9.65;GALXY;6.5;5.8
4649;60;0;190.9167;11.552611;9.8;GALXY;7.4;6
4621;59;0;190.509675;11.646931;10.6;GALXY;5.4;3.7
4579;58;0;189.431654;11.818089;9.66;GALXY;5.9;4.7
6720;57;0;283.396163;33.029175;8.8;PLNNB;3.8;2.4
6779;56;0;289.14821;30.18347;8.4;GLOCL;8.8;0
6809;55;0;294.99879;-30.96475;7.42;GLOCL;19;0
6715;54;0;283.76387;-30.47986;7.7;GLOCL;12;0
5024;53;0;198.23021;18.16817;7.7;GLOCL;13;0
7654;52;0;351.2;61.593;6.9;OPNCL;16;0
5194;51;0;202.469575;47.195258;8.1;GALXY;11.2;6.9
2323;50;0;105.6979;-8.3378;5.9;OPNCL;15;0
4472;49;0;187.444992;8.000411;8.3;GALXY;10.2;8.3
2548;48;0;123.429;-5.75;5.8;OPNCL;30;0
2422;47;0;114.146;-14.483;4.4;OPNCL;25;0
2437;46;0;115.442;-14.81;6.1;OPNCL;20;0
0;45;0;56.75;24.117;1.2;CLANB;110;110
2632;44;0;130.1;19.667;3.1;OPNCL;70;0
1982;43;0;83.879;-5.27;9;H-I-I;20;15
1976;42;0;83.8221;-5.3911;4;H-I-I;90;60
2287;41;0;101.504;-20.757;4.5;OPNCL;39;0
0;40;0;185.55221;58.08294;9.65;?;0;0
7092;39;0;322.95;48.433;4.6;OPNCL;31;0
1912;38;0;82.179;35.855;6.4;OPNCL;15;0
2099;37;0;88.075;32.553;5.6;OPNCL;15;0
1960;36;0;84.075;34.14;6;OPNCL;10;0
2168;35;0;92.225;24.333;5.1;OPNCL;25;0
1039;34;0;40.521;42.762;5.2;OPNCL;25;0
598;33;0;23.4621;30.659942;5.72;GALXY;68.7;41.6
221;32;0;10.674271;40.865169;8.08;GALXY;8.5;6.5
224;31;0;10.684708;41.26875;3.44;GALXY;189.1;61.7
7099;30;0;325.09217;-23.17986;7.7;GLOCL;12;0
6913;29;0;305.983;38.523;6.6;OPNCL;10;0
6626;28;0;276.13704;-24.86983;7.66;GLOCL;11.2;0
6853;27;0;299.901579;22.721042;7.4;PLNNB;8;5.6
6694;26;0;281.325;-9.383;8;OPNCL;10;0
0;25;0;277.946;-19.117;4.6;OPNCL;26;0
0;24;0;274.2;-18.55;4.6;CLSTR;90;60
6494;23;0;269.267;-18.985;5.5;OPNCL;25;0
6656;22;0;279.09975;-23.90475;5.1;GLOCL;32;0
6531;21;0;271.054;-22.49;5.9;OPNCL;16;0
6514;20;0;270.675;-22.972;6.3;CLANB;20;20
6273;19;0;255.65704;-26.26794;7.47;GLOCL;17;0
6613;18;0;274.992;-17.102;6.9;OPNCL;7;0
6618;17;0;275.196;-16.172;6;CLANB;40;30
6611;16;0;274.7;-13.807;6;CLANB;120;25
7078;15;0;322.49304;12.167;6.3;GLOCL;18;0
6402;14;0;264.40063;-3.24592;8.32;GLOCL;11;0
6205;13;0;250.423475;36.461319;5.8;GLOCL;20;7.91
6218;12;0;251.80908;-1.94853;7.68;GLOCL;16;0
6705;11;0;282.771;-6.27;6.3;OPNCL;14;0
6254;10;0;254.28771;-4.10031;6.4;GLOCL;20;0
6333;9;0;259.79908;-18.51625;8.42;GLOCL;12;0
0;8;0;270.904;-24.378;6;H-I-I;90;40
6475;7;0;268.463;-34.793;3.3;OPNCL;80;0
6405;6;0;265.083;-32.253;4.2;OPNCL;25;0
5904;5;0;229.63842;2.08103;6.65;GLOCL;23;0
6121;4;0;245.89675;-26.52575;5.9;GLOCL;26;0
5272;3;0;205.54842;28.37728;6.2;GLOCL;18;0
7089;2;0;323.36258;-0.82325;6.3;GLOCL;16;0
1952;1;0;83.63308;22.0145;8.4;SNREM;8;4
3195;0;109;152.337125;-80.858536;11.6;PLNNB;0.67;0.58
4372;0;108;186.43929;-72.65908;9.85;GLOCL;5;0
6101;0;107;246.4505;-72.20219;10.08;GLOCL;10.7;0
104;0;106;6.022329;-72.081444;4.09;GLOCL;30.9;12.423
4833;0;105;194.89133;-70.8765;7.79;GLOCL;13.5;0
362;0;104;15.80942;-70.84878;6.58;GLOCL;12.9;0
2070;0;103;84.675;-69.1;7.25;CLANB;30;20
0;0;102;160.742;-64.4;1.9;OPNCL;100;0
6744;0;101;287.442079;-63.857539;8.25;GALXY;20;12.9
0;0;100;174.585;-63.3728;4.5;H-I-I;40;20
0;0;99;192.5;-62.5;99;DRKNB;430;300
4609;0;98;190.575;-62.995;6.9;OPNCL;6;0
3766;0;97;174.075;-61.615;5.3;OPNCL;15;0
2516;0;96;119.517;-60.753;3.8;OPNCL;22;0
6025;0;95;240.821;-60.432;5.1;OPNCL;15;0
4755;0;94;193.412;-60.362;4.2;OPNCL;10;0
6752;0;93;287.71712;-59.98456;6.28;GLOCL;20.4;0
3372;0;92;161.0792;-59.8892;1;H-I-I;120;0
3532;0;91;166.413;-58.753;3;OPNCL;50;0
